"Radius (Computed location);""Longitude (Computed location)"";""Latitude (Computed location)"";""Source (Computed location)"";""Country"";""Data"";""Link Quality Indicator"";""Link Quality Indicator repeaters"";""Operator"";""RSSI1 (Receiver info)"";""NapmId1 (Receiver info)"";""Station ID1 (Receiver info)"";""GetRssiRepeaters2Display1 (Receiver info)"";""Delay1 (Receiver info)"";""RSSI2 (Receiver info)"";""NapmId2 (Receiver info)"";""Station ID2 (Receiver info)"";""GetRssiRepeaters2Display2 (Receiver info)"";""Delay2 (Receiver info)"";""RSSI3 (Receiver info)"";""NapmId3 (Receiver info)"";""Station ID3 (Receiver info)"";""GetRssiRepeaters2Display3 (Receiver info)"";""Delay3 (Receiver info)"";""RSSI4 (Receiver info)"";""NapmId4 (Receiver info)"";""Station ID4 (Receiver info)"";""GetRssiRepeaters2Display4 (Receiver info)"";""Delay4 (Receiver info)"";""Timestamp"""
"4600;""12.595662669724788"";""55.701899598518125"";""Network location"";"""";""0bf7"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-121.00"";""0000"";""23E8"";""N/A"";""1.152"";;;;;;;;;;;;;;;;""2022-02-22 00:22:23"""
"4500;""12.597275259896012"";""55.701794516824"";""Network location"";"""";""0c07"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-119.00"";""0000"";""23E8"";""N/A"";""1.392"";;;;;;;;;;;;;;;;""2022-02-21 12:13:49"""
"4500;""12.596661056705054"";""55.69961396951771"";""Network location"";"""";""0c17"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-120.00"";""0000"";""23E8"";""N/A"";""0.992"";;;;;;;;;;;;;;;;""2022-02-21 00:05:21"""
"4400;""12.596013041711556"";""55.7015709519943"";""Network location"";"""";""0c1c"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-118.00"";""0000"";""23E8"";""N/A"";""1.255"";;;;;;;;;;;;;;;;""2022-02-20 20:02:35"""
"4600;""12.597061720202431"";""55.7026350815409"";""Network location"";"""";""0c29"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-119.00"";""0000"";""23E8"";""N/A"";""1.293"";;;;;;;;;;;;;;;;""2022-02-20 11:56:53"""
"4300;""12.597122129427214"";""55.703791333333946"";""Network location"";"""";""0c2e"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-113.00"";""0000"";""23E8"";""N/A"";""0.479"";;;;;;;;;;;;;;;;""2022-02-20 07:54:06"""
"4500;""12.59646911462535"";""55.70376181766909"";""Network location"";"""";""0c35"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-118.00"";""0000"";""23E8"";""N/A"";""1.052"";;;;;;;;;;;;;;;;""2022-02-20 03:51:17"""
"4300;""12.59658498319389"";""55.70071658554333"";""Network location"";"""";""0c3a"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-115.00"";""0000"";""23E8"";""N/A"";""0.821"";;;;;;;;;;;;;;;;""2022-02-19 23:48:25"""
"4400;""12.596672200554655"";""55.702120535805044"";""Network location"";"""";""0c3e"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-118.00"";""0000"";""23E8"";""N/A"";""2.182"";;;;;;;;;;;;;;;;""2022-02-19 19:45:41"""
"4500;""12.596354166367698"";""55.70003448353538"";""Network location"";"""";""0c45"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-120.00"";""0000"";""23E8"";""N/A"";""0.893"";;;;;;;;;;;;;;;;""2022-02-19 15:42:55"""
"4400;""12.5972017596129"";""55.702034386188664"";""Network location"";"""";""0c4c"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-117.00"";""0000"";""23E8"";""N/A"";""1.12"";;;;;;;;;;;;;;;;""2022-02-19 11:40:08"""
"4300;""12.596499777168999"";""55.701688980575014"";""Network location"";"""";""0c51"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-116.00"";""0000"";""23E8"";""N/A"";""1.732"";;;;;;;;;;;;;;;;""2022-02-19 07:37:23"""
"4300;""12.595761987284012"";""55.70212679814388"";""Network location"";"""";""0c56"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-116.00"";""0000"";""23E8"";""N/A"";""0.722"";;;;;;;;;;;;;;;;""2022-02-19 03:34:37"""
"4300;""12.594717563088906"";""55.700493826278155"";""Network location"";"""";""0c5d"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-116.00"";""0000"";""23E8"";""N/A"";""1.96"";;;;;;;;;;;;;;;;""2022-02-18 23:31:49"""
"4100;""12.59683222403085"";""55.70278775417361"";""Network location"";"""";""0c6e"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-108.00"";""0000"";""23E8"";""N/A"";""0.747"";;;;;;;;;;;;;;;;""2022-02-18 11:23:24"""
"3300;""12.597457868358804"";""55.70195961997374"";""Network location"";"""";""0c75"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-102.00"";""0000"";""23E8"";""N/A"";""0.626"";;;;;;;;;;;;;;;;""2022-02-18 07:19:53"""
"3600;""12.59615438321274"";""55.703103633030544"";""Network location"";"""";""0c7a"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-100.00"";""0000"";""23E8"";""N/A"";""0.831"";;;;;;;;;;;;;;;;""2022-02-18 03:17:03"""
"3300;""12.596878591462724"";""55.700650384924536"";""Network location"";"""";""0c81"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-102.00"";""0000"";""23E8"";""N/A"";""1.531"";;;;;;;;;;;;;;;;""2022-02-17 23:14:13"""
"3300;""12.59554047599159"";""55.701184519319376"";""Network location"";"""";""0c89"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-97.00"";""0000"";""23E8"";""N/A"";""1.371"";""-119.00"";""0000"";""36B6"";""N/A"";""1.785"";;;;;;;;;;;""2022-02-17 19:11:21"""
"3600;""12.597879604552574"";""55.702989158099356"";""Network location"";"""";""0c8e"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-103.00"";""0000"";""23E8"";""N/A"";""1.77"";;;;;;;;;;;;;;;;""2022-02-17 15:08:33"""
"3300;""12.59699908519279"";""55.70039339447177"";""Network location"";"""";""0c92"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-98.00"";""0000"";""23E8"";""N/A"";""1.575"";;;;;;;;;;;;;;;;""2022-02-17 11:05:40"""
"3300;""12.595435769279232"";""55.7012008329544"";""Network location"";"""";""0c97"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-95.00"";""0000"";""23E8"";""N/A"";""0.434"";""-123.00"";""0000"";""36B6"";""N/A"";""1.878"";;;;;;;;;;;""2022-02-17 07:02:51"""
"3300;""12.595331288463159"";""55.70181469092555"";""Network location"";"""";""0c9f"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-96.00"";""0000"";""23E8"";""N/A"";""0.573"";;;;;;;;;;;;;;;;""2022-02-17 03:00:02"""
"3600;""12.596067820986892"";""55.702695757204154"";""Network location"";"""";""0ca4"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-97.00"";""0000"";""23E8"";""N/A"";""0.572"";;;;;;;;;;;;;;;;""2022-02-16 22:57:15"""
"3600;""12.597505175842112"";""55.70257489181597"";""Network location"";"""";""0ca9"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-98.00"";""0000"";""23E8"";""N/A"";""0.602"";;;;;;;;;;;;;;;;""2022-02-16 18:54:31"""
"3300;""12.598170214616806"";""55.70087097088048"";""Network location"";"""";""0cb0"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-97.00"";""0000"";""23E8"";""N/A"";""1.832"";;;;;;;;;;;;;;;;""2022-02-16 14:51:44"""
"3300;""12.597699233762492"";""55.701608709015545"";""Network location"";"""";""0cb5"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-98.00"";""0000"";""23E8"";""N/A"";""0.984"";;;;;;;;;;;;;;;;""2022-02-16 10:48:58"""
"3300;""12.595522139718128"";""55.69985522836852"";""Network location"";"""";""0cbd"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-100.00"";""0000"";""23E8"";""N/A"";""1.281"";;;;;;;;;;;;;;;;""2022-02-16 06:46:09"""
"3300;""12.595954789392527"";""55.69951524919672"";""Network location"";"""";""0cc2"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-101.00"";""0000"";""23E8"";""N/A"";""2.573"";;;;;;;;;;;;;;;;""2022-02-16 02:43:20"""
"3300;""12.59643391094809"";""55.70137376563638"";""Network location"";"""";""0cc7"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-98.00"";""0000"";""23E8"";""N/A"";""1.699"";;;;;;;;;;;;;;;;""2022-02-15 22:40:32"""
"3300;""12.596249321603345"";""55.700928078824475"";""Network location"";"""";""0ccf"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-100.00"";""0000"";""23E8"";""N/A"";""1.644"";""-120.00"";""0000"";""36B6"";""N/A"";""1.565"";;;;;;;;;;;""2022-02-15 18:37:45"""
"3600;""12.59672418616024"";""55.70359135527994"";""Network location"";"""";""0cd4"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-97.00"";""0000"";""23E8"";""N/A"";""0.628"";;;;;;;;;;;;;;;;""2022-02-15 14:34:59"""
"3300;""12.596031968969895"";""55.70121058588933"";""Network location"";"""";""0cd9"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-100.00"";""0000"";""23E8"";""N/A"";""1.399"";;;;;;;;;;;;;;;;""2022-02-15 10:32:14"""
"4200;""12.597172991485902"";""55.70299023712361"";""Network location"";"""";""0ce6"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-109.00"";""0000"";""23E8"";""N/A"";""1.493"";;;;;;;;;;;;;;;;""2022-02-15 06:27:02"""
"4100;""12.59668725585409"";""55.70106486202373"";""Network location"";"""";""0cee"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-111.00"";""0000"";""23E8"";""N/A"";""1.542"";;;;;;;;;;;;;;;;""2022-02-15 02:17:49"""
"4200;""12.59686154159547"";""55.70233946878933"";""Network location"";"""";""0cf6"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-109.00"";""0000"";""23E8"";""N/A"";""1.865"";;;;;;;;;;;;;;;;""2022-02-14 22:08:29"""
"4000;""12.595140724825153"";""55.70125490606133"";""Network location"";"""";""0cfb"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-108.00"";""0000"";""23E8"";""N/A"";""1.173"";;;;;;;;;;;;;;;;""2022-02-14 17:59:16"""
"4300;""12.596298403963269"";""55.70094404480482"";""Network location"";"""";""0d03"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-115.00"";""0000"";""23E8"";""N/A"";""2.082"";;;;;;;;;;;;;;;;""2022-02-14 13:50:05"""
"4100;""12.597087227857127"";""55.69917201132512"";""Network location"";"""";""0d10"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-109.00"";""0000"";""23E8"";""N/A"";""2.011"";;;;;;;;;;;;;;;;""2022-02-14 05:31:34"""
"4100;""12.596722065422183"";""55.702067973056494"";""Network location"";"""";""0d16"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-109.00"";""0000"";""23E8"";""N/A"";""0.991"";;;;;;;;;;;;;;;;""2022-02-14 01:22:14"""
"4000;""12.595338891510094"";""55.70038798577051"";""Network location"";"""";""0d20"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-108.00"";""0000"";""23E8"";""N/A"";""1.341"";;;;;;;;;;;;;;;;""2022-02-13 21:12:54"""
"3900;""12.596509562458118"";""55.70083114224788"";""Network location"";"""";""0d28"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-105.00"";""0000"";""23E8"";""N/A"";""1.733"";;;;;;;;;;;;;;;;""2022-02-13 17:03:34"""
"4100;""12.596178261441977"";""55.70143140727856"";""Network location"";"""";""0d2e"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-110.00"";""0000"";""23E8"";""N/A"";""1.751"";;;;;;;;;;;;;;;;""2022-02-13 12:54:48"""
"4300;""12.595310358178507"";""55.702188001578726"";""Network location"";"""";""0d33"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-116.00"";""0000"";""23E8"";""N/A"";""1.372"";;;;;;;;;;;;;;;;""2022-02-13 04:48:05"""
"4100;""12.595435255837211"";""55.7023064359595"";""Network location"";"""";""0d3e"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-111.00"";""0000"";""23E8"";""N/A"";""2.04"";;;;;;;;;;;;;;;;""2022-02-12 20:42:27"""
"3300;""12.596543628639589"";""55.70172776684402"";""Network location"";"""";""0d49"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-102.00"";""0000"";""23E8"";""N/A"";""2.0"";;;;;;;;;;;;;;;;""2022-02-12 12:37:00"""
"4500;""12.595564931022263"";""55.70180459058206"";""Network location"";"""";""0d52"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-119.00"";""0000"";""23E8"";""N/A"";""2.29"";;;;;;;;;;;;;;;;""2022-02-12 08:34:13"""
"5300;""12.596695605644156"";""55.701673143300226"";""Network location"";"""";""0d57"";""Average"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-127.00"";""0000"";""23E8"";""N/A"";""1.18"";;;;;;;;;;;;;;;;""2022-02-12 04:31:25"""
"4400;""12.596766037950674"";""55.702856695456305"";""Network location"";"""";""0d5f"";""Good"";""N/A"";""SIGFOX_Denmark_IOTDK"";""-116.00"";""0000"";""23E8"";""N/A"";""1.12"";;;;;;;;;;;;;;;;""2022-02-12 00:28:38"""
